"PassengerID","Survived"
434,"0"
813,"0"
57,"1"
635,"0"
277,"0"
484,"0"
609,"1"
447,"1"
162,"1"
771,"0"
343,"0"
140,"0"
577,"1"
229,"0"
417,"1"
591,"0"
214,"0"
184,"1"
23,"0"
103,"0"
839,"0"
759,"0"
145,"0"
8,"1"
313,"1"
136,"0"
749,"0"
493,"0"
622,"0"
350,"0"
841,"0"
862,"0"
797,"1"
31,"0"
44,"1"
576,"0"
494,"0"
339,"0"
201,"0"
176,"0"
370,"1"
798,"0"
655,"1"
90,"0"
297,"0"
93,"0"
413,"1"
38,"0"
608,"0"
112,"0"
319,"1"
596,"0"
72,"0"
704,"0"
384,"1"
311,"1"
204,"0"
474,"1"
179,"0"
536,"1"
788,"0"
453,"0"
555,"1"
439,"0"
844,"0"
831,"0"
775,"1"
543,"0"
870,"0"
490,"0"
390,"1"
481,"0"
699,"0"
731,"1"
752,"0"
53,"1"
658,"0"
71,"0"
499,"1"
260,"1"
772,"0"
804,"1"
267,"0"
557,"1"
143,"0"
124,"1"
560,"0"
191,"1"
164,"0"
174,"0"
551,"0"
808,"1"
509,"0"
292,"1"
314,"0"
21,"0"
237,"0"
75,"0"
395,"0"
121,"0"
821,"1"
472,"0"
505,"1"
406,"0"
327,"0"
115,"0"
450,"0"
687,"0"
86,"0"
361,"0"
13,"0"
367,"1"
228,"0"
295,"0"
380,"0"
861,"0"
120,"1"
438,"1"
642,"1"
283,"0"
332,"0"
80,"0"
379,"0"
99,"1"
349,"1"
722,"0"
522,"0"
249,"0"
580,"0"
40,"0"
89,"1"
161,"0"
74,"0"
212,"1"
875,"1"
250,"0"
111,"0"
497,"1"
526,"0"
45,"1"
598,"0"
846,"0"
521,"1"
571,"0"
431,"0"
567,"0"
276,"1"
632,"0"
405,"0"
701,"1"
682,"0"
706,"0"
388,"1"
631,"0"
76,"0"
684,"0"
807,"0"
290,"1"
542,"0"
188,"0"
323,"1"
544,"0"
785,"0"
3,"0"
94,"0"
663,"0"
14,"0"
570,"0"
537,"0"
280,"0"
830,"1"
582,"1"
650,"1"
461,"0"
885,"0"
617,"0"
835,"0"
190,"0"
882,"0"
334,"0"
605,"0"
255,"0"
646,"0"
661,"0"
371,"0"
10,"1"
464,"0"
205,"0"
173,"1"
717,"1"
231,"1"
171,"0"
247,"1"
689,"0"
645,"1"
488,"0"
306,"1"
857,"1"
685,"0"
51,"0"
